date,close,volume
2007-11-30,4737.410,29383700.000
2007-12-03,4772.670,22255900.000
2007-12-04,4829.210,22643600.000
2007-12-05,4965.950,31769200.000
2007-12-06,4971.060,23711600.000
2007-12-07,5041.350,27198200.000
2007-12-10,5133.560,42780700.000
2007-12-11,5140.000,40586500.000
2007-12-12,5077.390,39828300.000
2007-12-13,4884.300,36819600.000
2007-12-14,4977.650,30727900.000
2007-12-17,4857.290,37014500.000
2007-12-18,4829.910,22930100.000
2007-12-19,4946.290,32101900.000
2007-12-20,5037.190,31319900.000
2007-12-21,5101.850,37251500.000
2007-12-24,5207.130,50320000.000
2007-12-25,5216.810,38973700.000
2007-12-26,5265.030,41468100.000
2007-12-27,5367.530,52345000.000
2007-12-28,5338.270,45361400.000
2008-01-02,5385.100,45668700.000
2008-01-03,5422.030,64645900.000
2008-01-04,5483.650,51746400.000
2008-01-07,5556.590,53485400.000
2008-01-08,5528.050,64899500.000
2008-01-09,5613.760,46796900.000
2008-01-10,5672.150,64229900.000
2008-01-11,5699.150,56167100.000
2008-01-14,5731.760,49846000.000
2008-01-15,5696.450,50886600.000
2008-01-16,5505.720,55774500.000
2008-01-17,5365.620,61936900.000
2008-01-18,5414.470,43913000.000
2008-01-21,5145.730,47833600.000
2008-01-22,4753.870,60772700.000
2008-01-23,4975.110,55776400.000
2008-01-24,5027.210,56606000.000
2008-01-25,5077.430,47142100.000
2008-01-28,4731.880,41425300.000
2008-01-29,4762.080,29062300.000
2008-01-30,4710.650,34099000.000
2008-01-31,4620.400,30852600.000
2008-02-01,4571.940,35125500.000
2008-02-04,4950.120,40953100.000
2008-02-05,4921.830,32796400.000
2008-02-13,4816.080,21475700.000
2008-02-14,4880.250,19837800.000
2008-02-15,4813.310,24262600.000
2008-02-18,4910.990,30590100.000
2008-02-19,5020.750,36177000.000
2008-02-20,4908.720,39557700.000
2008-02-21,4876.030,33403600.000
2008-02-22,4702.240,37918600.000
2008-02-25,4519.780,33652000.000
2008-02-26,4515.530,33276400.000
2008-02-27,4639.770,29592400.000
2008-02-28,4622.060,25398200.000
2008-02-29,4674.550,23350900.000
2008-03-03,4790.740,39258400.000
2008-03-04,4671.150,45129800.000
2008-03-05,4628.720,39418000.000
2008-03-06,4685.030,44402300.000
2008-03-07,4621.690,28690900.000
2008-03-10,4431.590,31780400.000
2008-03-11,4441.180,26276600.000
2008-03-12,4309.650,27145600.000
2008-03-13,4198.960,34451300.000
2008-03-14,4157.870,23427900.000
2008-03-17,3965.280,28181000.000
2008-03-18,3763.950,34523800.000
2008-03-19,3888.860,37898500.000
2008-03-20,4001.830,46212900.000
2008-03-21,4037.830,42615200.000
2008-03-24,3857.090,35842400.000
2008-03-25,3905.770,32245900.000
2008-03-26,3914.370,28036800.000
2008-03-27,3748.920,32000700.000
2008-03-28,3918.160,42096800.000
2008-03-31,3790.530,29440800.000
2008-04-01,3582.850,35303500.000
2008-04-02,3547.980,42765900.000
2008-04-03,3650.700,32989500.000
2008-04-07,3845.820,40485000.000
2008-04-08,3891.060,44067900.000
2008-04-09,3688.120,38997200.000
2008-04-10,3754.720,28804400.000
2008-04-11,3783.730,26328600.000
2008-04-14,3536.330,33427000.000
2008-04-15,3583.300,30656900.000
2008-04-16,3494.020,26528100.000
2008-04-17,3386.630,29530600.000
2008-04-18,3272.500,27888200.000
2008-04-21,3267.550,41362300.000
2008-04-22,3296.280,32538000.000
2008-04-23,3453.730,44272600.000
2008-04-24,3774.500,96574900.000
2008-04-25,3803.070,84814500.000
2008-04-28,3729.150,48831200.000
2008-04-29,3776.940,44540400.000
2008-04-30,3959.120,69909800.000
2008-05-05,4055.780,62534100.000
2008-05-06,4010.890,58459300.000
2008-05-07,3821.320,54457700.000
2008-05-08,3925.040,44055700.000
2008-05-09,3878.920,53655900.000
2008-05-12,3904.920,45382700.000
2008-05-13,3851.690,50338000.000
2008-05-14,3975.780,50606900.000
2008-05-15,3948.090,50773000.000
2008-05-16,3936.120,39721800.000
2008-05-19,3914.070,29709600.000
2008-05-20,3710.820,39702600.000
2008-05-21,3783.050,43596200.000
2008-05-22,3711.440,40742700.000
2008-05-23,3675.150,33440400.000
2008-05-26,3559.220,28180200.000
2008-05-27,3576.200,24762700.000
2008-05-28,3676.230,31034900.000
2008-05-29,3580.870,29422700.000
2008-05-30,3611.330,28590800.000
2008-06-02,3625.830,28253400.000
2008-06-03,3614.110,34735100.000
2008-06-04,3546.920,29417700.000
2008-06-05,3512.140,23989300.000
2008-06-06,3489.500,20944200.000
2008-06-10,3206.560,32950000.000
2008-06-11,3140.300,29409700.000
2008-06-12,3084.630,31454100.000
2008-06-13,2979.120,25319800.000
2008-06-16,2952.240,26813800.000
2008-06-17,2842.680,26463800.000
2008-06-18,2991.270,42560100.000
2008-06-19,2773.080,36319000.000
2008-06-20,2849.670,51675900.000
2008-06-23,2789.940,26631500.000
2008-06-24,2851.920,31792500.000
2008-06-25,2969.540,42425300.000
2008-06-26,2980.910,42599300.000
2008-06-27,2816.020,40886600.000
2008-06-30,2791.820,25295400.000
2008-07-01,2698.350,28851600.000
2008-07-02,2699.600,27916400.000
2008-07-03,2760.610,45660300.000
2008-07-04,2741.850,37905000.000
2008-07-07,2882.760,52732000.000
2008-07-08,2901.840,54248100.000
2008-07-09,3015.130,69357000.000
2008-07-10,2973.730,61649600.000
